Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Guinea,787,958,908,999,"1,077",957,924,"1,069",772,"1,016"
Guinea-Bissau,30,24,27,29,20,25,28,23,20,45
Guyana,"6,201","6,295","4,327","5,162","5,284","4,527","4,632","5,089","3,632","5,338"
Haiti,"19,114","23,480","13,676","14,053","15,276","12,795","14,412","14,314","10,867","14,882"
Honduras,"5,294","5,462","4,433","5,039","5,819","5,310","5,650","6,354","5,151","7,015"
Hong Kong,"1,980","2,093","1,801","1,716","1,662","1,623","1,769","1,925","1,545","2,413"
Hungary,"1,014",984,891,941,934,729,922,983,754,"1,047"
Iceland,97,75,70,88,88,83,69,101,69,99
India,"42,928","49,897","37,854","42,213","46,188","50,830","52,228","64,638","48,111","57,043"
Indonesia,"2,123","2,190","1,568","1,743","1,641","1,566","1,808","2,093","1,359","1,638"
Iran,"9,627","11,623","9,620","10,344","9,507","8,327","8,413","11,311","8,830","10,798"
Iraq,"3,523","7,771","12,377","14,899","12,130","7,876","12,456","18,368","12,323","7,695"
Ireland,"1,239","1,295","1,413","1,375","1,383","1,405","1,621","1,698","1,179","1,726"
Israel,"2,859","3,466","3,015","3,182","3,071","2,473","2,751","3,303","2,391","3,454"
Italy,"2,234","2,355","2,313","2,760","2,692","2,501","2,924","3,244","2,324","3,318"
Jamaica,"15,531","16,442","13,547","16,566","16,772","15,087","17,235","18,019","13,466","20,716"
Japan,"1,663","1,837","1,635","1,858","1,758","1,713","1,869","1,970","1,584","1,901"
Jordan,"2,436","2,816","2,427","2,461","2,552","2,244","2,646","3,504","2,676","3,036"
Kazakhstan,"1,040",909,789,819,760,729,824,"1,147",803,"1,074"
Kenya,"4,170","4,257","3,885","4,738","4,834","4,349","4,302","5,329","4,186","4,715"
"Korea, North",19,27,24,23,16,15,30,25,17,16
"Korea, South","13,790","15,786","13,587","14,230","14,347","14,647","16,040","16,299","11,350","14,996"
Kosovo,510,487,392,547,530,410,451,597,482,622
Kuwait,820,920,791,819,790,677,789,"1,111",840,826
Kyrgyzstan,420,395,305,418,408,412,484,535,411,565
Laos,"7,027","3,932","2,564","2,042","1,999","1,726","2,029","2,306","1,704","1,874"
Latvia,392,364,366,392,356,306,315,365,241,297
Lebanon,"2,914","3,002","2,528","2,463","2,284","2,083","2,341","2,683","1,715","2,213"
Lesotho,7,10,8,11,9,8,9,18,7,24
Liberia,"4,322","3,923","3,035","3,042","3,022","2,422","2,754","3,335","2,429","2,892"
Libya,195,206,228,193,210,207,308,447,309,348
Lithuania,938,933,744,752,626,584,699,885,529,652
Luxembourg,23,16,34,20,18,14,20,23,20,24
Macau,106,97,102,109,101,70,79,92,61,106
Madagascar,37,50,50,65,75,61,53,63,47,66
Malawi,85,83,76,91,95,84,114,120,91,138
Malaysia,"1,150","1,169","1,052","1,113","1,189","1,170","1,388","1,407",942,"1,217"
Mali,288,332,352,405,456,392,398,446,390,466
Malta,44,59,40,50,43,47,51,49,37,42
Marshall Islands,21,17,20,22,27,16,21,15,13,21
Mauritania,495,520,376,355,323,288,253,319,188,234
