Year,N_EmigrationRate,N_ImmigrationRate,N_NetEmigration,N_NetImmigration,N_EmigrationGDPgrowth,N_ImmigrationGDPgrowth,N_EmigrationLogGDP,N_ImmigrationLogGDP,N_EmigrationPop,N_ImmigrationPop,N_PopulationTot,N_logGDP,N_GDP_growth_pct
1961-12-31,-0.008625543737703663,0.006483004621156222,-0.0025527854462515627,0.0024185831332748163,0.008244391618364441,0.008370203002866738,0.012591581217772093,0.01294634753921501,0.00207465480444985,0.0022399070575037003,0.0021459741978730905,0.012744690893342193,0.008298689163254906
1962-12-31,-0.008541967349291975,0.00672910808466342,-0.002476607174620078,0.0025167323949334556,0.009469139815926685,0.010641123349613722,0.012598212555220357,0.012998921818587517,0.002836787979081808,0.0012907292459725663,0.002185815880930549,0.012766932245059155,0.009962606566952805
1963-12-31,-0.008207219887673867,0.006282535413845867,-0.0024261097040762254,0.002452720280891721,0.01144712557595077,0.010495009513209367,0.012648095883032173,0.012997599135714582,0.0022012511620369624,0.002283110116342847,0.002234856416962536,0.012791576165712316,0.01105625687650956
1964-12-31,-0.007887205090193687,0.006763616116705951,-0.004132496647127464,0.002419671255522075,0.0125771034404961,0.0129430005633933,0.012687850893552143,0.0130387859272229,0.0028555383328225815,0.0013503069520565754,0.002285134862216515,0.012820836801048428,0.012715759192330827
1965-12-31,-0.0073443148852836045,0.008232142410599256,-0.0026510488106714645,0.003178266927988293,0.01186194162957788,0.013289231214013108,0.012712874463381789,0.013038265751169589,0.0028843762518935296,0.001250241066799294,0.002333930715861787,0.012822479949794522,0.01234271285801922
1966-12-31,-0.00679537138903785,0.007292739764005728,-0.0027688919346469856,0.002408557581917458,0.008735329343066056,0.009966939406352508,0.012577890758793632,0.013118591391702657,0.0019894417868951747,0.0029728164735920524,0.0023827916615739254,0.012794171011957239,0.009227973368380637
1967-12-31,-0.006804238269656293,0.007069215719143427,-0.0023658344525635715,0.004706999895268696,0.008771000973244998,0.006831997247298188,0.012587991194676938,0.013084474801552948,0.0020852226900652184,0.002975648181604347,0.0024320199867699324,0.012781358494197072,0.008015810048402558
1968-12-31,-0.006504988171866695,0.00710381552736572,-0.003218714991240484,0.002868487827097214,0.010986500770915017,0.012946990315539052,0.012545538466571249,0.013237180274750751,0.002996149733446647,0.001642312730588067,0.002483116763942343,0.012807634309670846,0.011729423124667281
1969-12-31,-0.007694545063563625,0.006946730969767847,-0.0036499062077518236,0.0035752739683986884,0.012491825023822527,0.014037061632882375,0.012555257825379189,0.01325869655032159,0.0032063130524480426,0.00152961975305317,0.002535635732690093,0.012836633315356148,0.013109919667446459
1970-12-31,-0.007615286783015825,0.007301509333561343,-0.003314165102226637,0.0035911101156406067,0.013093261784567184,0.016465755406815774,0.012493793706063648,0.013272696842635715,0.0025321698853164668,0.002677441245181727,0.002588749257053464,0.012797155980307506,0.014406759300600857
1971-12-31,-0.006003783241344594,0.007472283846239127,-0.0039698042576255255,0.004059404947979433,0.011070284367447988,0.010078095679458336,0.012445045806311193,0.013382742390921578,0.0033500940857251935,0.0015790093485789887,0.002641660190866712,0.012820124440155345,0.010673408892252127
1972-12-31,-0.005909266634978781,0.0073899762941924685,-0.0029277547702537864,0.0029375939145005188,0.01124257048456246,0.01154375234353125,0.012537523660893885,0.01335052636597238,0.0034607005924203395,0.0014388160186264405,0.0026945127539300213,0.012845608896502582,0.01135670255743484
1973-12-31,-0.005998059010888302,0.008654968650861771,-0.003225498674738231,0.0034944416617428186,0.009910602031189498,0.012956739289203524,0.01255424687661703,0.013390933660069713,0.003531062933977606,0.001465105243290378,0.002748173703822446,0.012871307131399098,0.011064927728963237
1974-12-31,-0.00604664592669504,0.006910392046084681,-0.0028768931621635362,0.003013265178651973,0.01083030918489641,0.011782295105569333,0.012574231592891807,0.013412533469148348,0.0028500868691529206,0.0027219236625988723,0.0028015197593008597,0.012891903882841655,0.011191061744309309
1975-12-31,-0.006538407282298209,0.008691948720144393,-0.0029550815906627436,0.004200235802841658,0.0052069160304247415,0.0048445764009359136,0.012561740014642614,0.013505632137745404,0.002563443094651701,0.0033750097656682753,0.002853898534805001,0.012899554037647828,0.0050772365840813715
1976-12-31,-0.006863011155523009,0.008462298978038733,-0.0028361196929859874,0.003852009152875705,0.009948978868318232,0.013364751927559837,0.012550739411046497,0.013507318108254198,0.002730539701136842,0.0031804903661811147,0.002905783644364612,0.012923301640485286,0.011279332586128118
1977-12-31,-0.007202681474045632,0.007352587791416858,-0.0033230914582233605,0.004279508949188597,0.009412538651604447,0.009516258231087435,0.012619228838974147,0.013423919847350946,0.0026937546308256396,0.0033531547790611087,0.0029575146901198264,0.012941105242324865,0.009454026483397642
1978-12-31,-0.007094259219824726,0.007180177911126507,-0.003336799124478833,0.003247871313216388,0.010302523603935274,0.008743791149240256,0.012635246393034184,0.013452857159308561,0.003639878078641574,0.002063153826189833,0.003009188377660877,0.012962290699543933,0.009679030622057268
1979-12-31,-0.007757592472278233,0.006652197896110577,-0.004125576319972221,0.005796845990833861,0.00981913135207681,0.007993286835784841,0.012750463432087186,0.01337904257079315,0.0028270950823635604,0.003464738207800793,0.0030620162338404356,0.01298204522003149,0.009146451793442926
1980-12-31,-0.008103361100590914,0.008879865954675043,-0.004396875475147222,0.007309770409614615,0.0075739250363997075,0.006853060905238401,0.012595481085318473,0.013397902125820482,0.0028350953021108356,0.0035216984513804245,0.0031169639633899303,0.012924896038787721,0.0072779913404492766
