_time,NodeName,CellName,ConnEstabAtt,ConnEstabSucc,ConnEstabTimeAvg,IntraFreqOutSucc,IntraFreqOutAtt,InterFreqMeasGapOutAtt,InterFreqNoMeasGapOutAtt,IntraFreqOutPrepSucc,InterFreqMeasGapOutPrepSucc,ConnReEstabAtt,ConnReEstabSucc,EutranIpThroughput,ULIpThruAvg,TotPrbDLAvg,TotPrbULAvg,PdcpSduDelayAvg,PdcpSduDropRateDL,PdcpSduLossRateUl,DLReceivedCQI1,DLReceivedCQI2,DLReceivedCQI3,DLReceivedCQI4,DLReceivedCQI5,DLReceivedCQI6,DLReceivedCQI7,DLReceivedCQI8,DLReceivedCQI9,DLReceivedCQI10,DLReceivedCQI11,DLReceivedCQI12,DLReceivedCQI13,DLReceivedCQI14,DLReceivedCQI15,DLReceivedCQI1_256QAM,DLReceivedCQI15_256QAM,InterferencePowerAvg,PucchInterferencePowerAvg,RssiPathAvg,DLReceivedRI1,DLReceivedRI4,EnbQciDLThru,EnbQciULThru,DLTransmittedMCS0,DLTransmittedMCS1,DLTransmittedMCS2,DLTransmittedMCS3,DLTransmittedMCS4,DLTransmittedMCS5,DLTransmittedMCS6,DLTransmittedMCS7,DLTransmittedMCS8,DLTransmittedMCS9,DLTransmittedMCS10,DLTransmittedMCS11,DLTransmittedMCS12,DLTransmittedMCS13,DLTransmittedMCS14,DLTransmittedMCS15,DLTransmittedMCS16,DLTransmittedMCS17,DLTransmittedMCS18,DLTransmittedMCS19,DLTransmittedMCS20,DLTransmittedMCS21,DLTransmittedMCS22,DLTransmittedMCS23,DLTransmittedMCS24,DLTransmittedMCS25,DLTransmittedMCS26,DLTransmittedMCS27,DLTransmittedMCS28,DLTransmittedMcs0_256QAM,DLTransmittedMcs27_256QAM,ULReceivedMCS0,ULReceivedMCS1,ULReceivedMCS2,ULReceivedMCS3,ULReceivedMCS4,ULReceivedMCS5,ULReceivedMCS6,ULReceivedMCS7,ULReceivedMCS8,ULReceivedMCS9,ULReceivedMCS10,ULReceivedMCS11,ULReceivedMCS12,ULReceivedMCS13,ULReceivedMCS14,ULReceivedMCS15,ULReceivedMCS16,ULReceivedMCS17,ULReceivedMCS18,ULReceivedMCS19,ULReceivedMCS20,ULReceivedMCS21,ULReceivedMCS22,ULReceivedMCS23,ULReceivedMCS24,ULReceivedMCS25,ULReceivedMCS26,ULReceivedMCS27,ULReceivedMCS28,DLResidualBlerRetrans0,DLResidualBlerRetrans0_256QAM,ULResidualBlerRetrans0,ConnNoMax,ConnNoAvg,RACHUsageAvg,RandomlySelectedPreamblesLow,RandomlySelectedPreamblesHigh,RruCceUsageDistUL2,RruCceUsageDistDL2,AttPaging,DiscardedNbr,UEActiveDLAvg,UEActiveULAvg,EstabInitAttNbr,EstabInitSuccNbr,EstabAddAttNbr,SCellAddAtt_RrcSig,SCellAddAtt_RrcResetup,SCellAddAtt_AddSbcRrcSig,SCellAddAtt_AddSbcRrcResetup,SCellAddAtt_EventA4,SCellAddSucc_RrcSig,SCellAddSucc_RrcResetup,SCellAddSucc_AddSbcRrcSig,SCellAddSucc_AddSbcRrcResetup,SCellAddSucc_EventA4,SCellAddAtt_HoIn,SCellAddAtt_AddSbcHoIn,SCellAddSucc_HoIn,SCellAddSucc_AddSbcHoIn,SCellActUEMax,SCellActUEAvg,UsageNbrMax,MlbHOSucc,LoadBinAvg,LoadBinCnt,InterFreqMeasGapOutSucc,InterFreqNoMeasGapOutSucc
2022-12-04T00:15:00.000-05:00,LTSQC0210079,LTSQC0210079-044-1900-1-5,431,431,99.10,9,9,4,0,9,4,3,3,63183.75,532.44,2.13,3.61,90.88,0.00,979.43,389,83,65,46,201,251,227,368,3067,3819,324,958,2705,1822,3191,146,4466,-119.20,-118.76,-95.61,0,0,307.01,192.74,4686,6,1,424,72,114,140,8796,136,332,0,3,25,18,9,24,50,0,19,127,88,70,57,56,44,33,54,3,0,3323,0,2597.00,50147.00,59008.00,98753.00,65875.00,49894.00,17172.00,7745.00,8460.00,10477.00,21457.00,0.00,17018.00,14744.00,11809.00,9940.00,8271.00,8099.00,7645.00,6366.00,14356.00,0.00,4799.00,3394.00,1063.00,536.00,123.00,7.00,0.00,4.85,3.97,9.93,20.00,12.41,0.42,438.00,2.00,156820.00,28983.00,18185,0,0.66,0.95,690,690,10,292,2,0,0,0,292,2,0,0,0,11,0,11,0,4.00,0.44,39.00,0,3.63,439.00,4,0
2022-12-04T00:15:00.000-05:00,LTSQC0210079,LTSQC0210079-045-1900-1-6,46,46,53.03,3,3,0,0,3,0,0,0,49257.59,4337.51,1.64,1.47,20.19,0.00,0.00,1,1,3,1,5,5,7,10,43,58,15,22,39,95,441,3,10473,-119.28,-118.72,-95.36,0,0,161.91,225.55,468,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,1,0,3,0,653,154,142.00,147.00,319.00,130.00,96.00,121.00,140.00,232.00,343.00,698.00,1557.00,0.00,1023.00,1387.00,2224.00,2877.00,4825.00,8599.00,7516.00,7428.00,18560.00,0.00,11215.00,31120.00,4705.00,21529.00,16744.00,11386.00,789.00,4.57,1.31,8.43,5.00,1.89,0.03,47.00,0.00,162167.00,40051.00,18188,0,0.53,0.48,74,74,0,41,0,0,0,0,41,0,0,0,0,0,0,0,0,2.00,0.06,9.00,0,1.82,439.00,0,0
2022-12-04T00:30:00.000-05:00,LTSQC0210079,LTSQC0210079-003-2100-1-4,69,69,84.32,0,0,2,0,0,2,0,0,28097.96,135.99,1.77,0.38,49.32,0.00,772.80,25,12,16,9,4,2,5,51,38,134,914,3993,579,164,934,24,8425,-118.54,-118.58,-96.54,0,0,16.38,16.21,820,0,0,0,0,0,0,419,0,0,0,0,0,1,4,126,132,0,66,13,13,2,2,5,3,0,8,3,0,554,53,0.00,14.00,337.00,5327.00,84.00,68.00,59.00,62.00,178.00,156.00,288.00,0.00,219.00,368.00,670.00,516.00,869.00,2541.00,3253.00,5126.00,12816.00,0.00,4522.00,4331.00,4373.00,862.00,575.00,528.00,20.00,2.49,2.25,5.96,7.00,3.30,0.05,70.00,0.00,15086.00,4688.00,17234,0,0.24,0.44,100,100,1,40,0,0,0,0,40,0,0,0,0,1,0,1,0,2.00,0.05,11.00,0,2.10,440.00,2,0
2022-12-04T00:30:00.000-05:00,LTSQC0210079,LTSQC0210079-004-2100-1-5,91,91,100.24,0,0,0,0,0,0,0,0,53066.67,1938.08,1.68,1.00,34.49,0.00,0.00,37,23,30,8,1,1,5,2,4,197,2546,183,483,376,28073,402,588,-118.33,-118.28,-95.90,0,0,2.35,45.77,1744,40,0,0,1,1,1,8952,3,2,0,0,1,141,1,14,36,0,3,35,17,384,38,32,41,90,585,52,36,245,0,10.00,139.00,610.00,121.00,90.00,76.00,63.00,58.00,70.00,110.00,558.00,0.00,360.00,1046.00,1852.00,1617.00,6383.00,14146.00,7216.00,3402.00,7888.00,0.00,990.00,75303.00,3462.00,0.00,0.00,0.00,0.00,0.38,3.55,2.48,8.00,5.21,0.06,93.00,0.00,7039.00,3358.00,17231,0,0.16,0.19,127,127,3,47,0,0,0,0,47,0,0,0,0,0,0,0,0,2.00,0.06,16.00,0,1.89,440.00,0,0
2022-12-04T00:30:00.000-05:00,LTSQC0210079,LTSQC0210079-005-2100-1-6,20,20,52.35,0,0,0,0,0,0,0,0,24600.00,6888.89,1.66,0.04,87.11,0.00,3600.17,1,1,0,1,0,0,0,0,0,0,0,1,1,2,8373,0,563,-120.16,-120.08,-98.39,0,0,4.74,4.23,364,0,0,0,0,0,0,374,0,0,0,12,177,159,0,29,5,0,63,86,2312,111,27,42,86,14,13,11,0,54,0,0.00,0.00,98.00,2.00,0.00,0.00,0.00,63.00,161.00,274.00,1374.00,0.00,900.00,387.00,115.00,20.00,226.00,431.00,248.00,168.00,883.00,0.00,77.00,202.00,5.00,0.00,0.00,0.00,0.00,0.52,3.51,2.59,4.00,1.32,0.01,20.00,0.00,2197.00,1311.00,17223,0,0.12,0.13,25,25,1,9,0,0,0,0,9,0,0,0,0,0,0,0,0,1.00,0.01,6.00,0,1.85,440.00,0,0
2022-12-04T00:30:00.000-05:00,LTSQC0210079,LTSQC0210079-043-1900-1-4,269,269,94.24,3,3,0,0,3,0,0,0,42209.59,3036.06,1.44,0.66,47.07,0.00,1182.03,29,37,75,118,94,63,61,99,147,187,175,209,255,104,9367,22,14330,-119.05,-118.77,-95.62,0,0,93.71,31.50,2472,3,1,0,1,4,0,2875,1,0,0,0,0,1,5,2,2,0,2,40,133,58,36,30,234,51,231,125,143,2066,1842,468.00,664.00,1673.00,688.00,812.00,1087.00,1109.00,1232.00,1427.00,1458.00,3995.00,0.00,1784.00,2009.00,2434.00,2411.00,2240.00,2648.00,3102.00,2756.00,6862.00,541.00,1616.00,5419.00,1092.00,4405.00,10693.00,17714.00,1146.00,2.68,2.51,6.44,12.00,6.92,0.23,270.00,1.00,79577.00,13669.00,17217,0,0.25,0.44,509,509,2,222,0,0,0,0,222,0,0,0,0,2,0,2,0,3.00,0.30,27.00,0,1.44,440.00,0,0
2022-12-04T00:30:00.000-05:00,LTSQC0210079,LTSQC0210079-044-1900-1-5,434,434,100.23,6,6,1,0,6,1,2,2,50374.87,1526.11,2.15,2.48,59.01,0.00,7575.76,419,106,65,36,58,102,147,166,2001,1647,382,1191,2858,2348,3466,91,4921,-119.23,-118.80,-95.70,0,0,314.70,156.71,4382,7,0,4,2,4,3,675,4,28,0,5,66,9,27,38,88,0,9,85,205,29,42,46,58,23,51,13,0,2986,1,1157.00,9908.00,7546.00,21846.00,5392.00,5324.00,6715.00,7395.00,8775.00,9717.00,30498.00,0.00,26956.00,23044.00,16634.00,12761.00,10987.00,13074.00,11114.00,7200.00,12467.00,0.00,3036.00,3241.00,308.00,620.00,375.00,416.00,71.00,5.09,3.45,9.71,19.00,11.81,0.42,441.00,5.00,194779.00,31910.00,17212,0,0.46,0.55,693,693,12,276,2,0,0,0,276,2,0,0,0,3,0,3,0,5.00,0.44,35.00,0,2.47,440.00,1,0
2022-12-04T00:30:00.000-05:00,LTSQC0210079,LTSQC0210079-045-1900-1-6,22,22,56.21,1,1,0,0,1,0,0,0,11782.38,2880.63,1.43,0.86,20.94,0.00,0.00,0,1,0,0,0,3,1,1,19,28,36,36,25,7,385,1,8760,-119.27,-118.77,-95.71,0,0,70.48,122.91,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,2789,82.00,188.00,351.00,313.00,299.00,351.00,634.00,612.00,750.00,1071.00,2732.00,0.00,2152.00,2366.00,2905.00,4028.00,4666.00,5043.00,5739.00,5323.00,7239.00,0.00,3983.00,9052.00,1125.00,7954.00,8152.00,7082.00,627.00,4.88,2.20,8.50,3.00,0.94,0.01,18.00,4.00,86580.00,22075.00,17205,0,0.28,0.23,39,39,0,19,0,0,0,0,19,0,0,0,0,1,0,1,0,2.00,0.02,6.00,0,1.59,440.00,0,0
2022-12-04T00:45:00.000-05:00,LTSQC0210079,LTSQC0210079-003-2100-1-4,59,59,96.98,0,0,0,0,0,0,0,0,18074.68,7347.33,2.11,1.99,51.96,0.00,111.07,4,8,14,17,7,26,44,184,354,204,767,4101,492,150,659,34,13115,-118.57,-118.55,-96.12,0,0,138.55,152.99,672,2,1,1,1,0,0,412,6,59,0,1,31,2,2,139,130,0,61,12,3,0,1,0,0,0,0,2,0,892,139,38.00,126.00,288.00,2203.00,74.00,195.00,345.00,1079.00,1222.00,2013.00,5205.00,0.00,3710.00,4415.00,5248.00,5838.00,6378.00,9183.00,12588.00,10901.00,18411.00,0.00,6882.00,11817.00,664.00,2829.00,1739.00,1126.00,145.00,3.40,1.22,6.69,8.00,4.56,0.04,58.00,1.00,19401.00,9848.00,16777,0,0.75,1.20,85,85,4,32,0,0,0,0,32,0,0,0,0,0,0,0,0,1.00,0.04,14.00,0,14.08,439.00,0,0
2022-12-04T00:45:00.000-05:00,LTSQC0210079,LTSQC0210079-004-2100-1-5,105,105,96.01,0,0,0,0,0,0,0,0,52089.26,2626.80,1.70,0.94,34.93,0.00,0.00,32,33,82,49,44,34,33,28,39,195,2608,163,624,468,26808,647,1380,-118.34,-118.30,-95.96,0,0,4.10,45.68,1892,25,0,2,2,4,2,8275,6,1,0,0,1,141,2,12,25,0,1,36,12,373,27,14,25,86,559,59,21,307,0,615.00,50.00,610.00,115.00,6.00,17.00,59.00,27.00,32.00,66.00,657.00,0.00,593.00,1091.00,1540.00,3425.00,8392.00,9265.00,4700.00,1199.00,8182.00,0.00,1175.00,72806.00,3378.00,126.00,128.00,167.00,28.00,0.38,0.82,2.38,8.00,5.56,0.07,104.00,1.00,6704.00,3220.00,16779,0,0.15,0.20,155,155,1,65,0,0,0,0,65,0,0,0,0,0,0,0,0,2.00,0.08,15.00,0,1.91,439.00,0,0
2022-12-04T00:45:00.000-05:00,LTSQC0210079,LTSQC0210079-005-2100-1-6,26,26,46.75,0,0,0,0,0,0,0,0,19881.48,4000.00,1.70,0.03,40.54,0.00,0.00,0,0,0,1,0,0,2,2,0,0,1,0,5,14,4232,1,326,-120.16,-120.13,-98.41,0,0,0.42,0.20,312,0,0,0,0,0,0,271,1,0,0,0,0,0,0,0,0,0,0,80,17,25,15,22,36,13,9,7,0,106,0,34.00,35.00,135.00,8.00,6.00,7.00,36.00,66.00,66.00,38.00,50.00,0.00,13.00,14.00,133.00,123.00,79.00,232.00,118.00,116.00,676.00,0.00,113.00,128.00,0.00,0.00,0.00,0.00,0.00,0.25,9.08,0.17,3.00,1.11,0.02,26.00,0.00,743.00,867.00,16779,0,0.00,0.00,35,35,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,1.00,0.01,5.00,0,1.84,439.00,0,0
2022-12-04T00:45:00.000-05:00,LTSQC0210079,LTSQC0210079-043-1900-1-4,240,240,95.58,8,8,0,0,8,0,2,2,80432.79,9881.00,1.72,0.54,43.09,0.00,0.00,35,61,114,142,114,78,169,88,131,93,181,163,180,209,9122,9,12225,-119.05,-118.79,-95.69,0,0,358.06,36.06,2385,0,0,0,0,6,0,2461,1,0,0,0,0,0,2,0,0,0,0,4,56,31,11,15,139,18,209,14,61,1790,2168,206.00,152.00,1336.00,360.00,212.00,231.00,510.00,690.00,594.00,738.00,1924.00,0.00,1216.00,1176.00,1673.00,1571.00,1489.00,2242.00,1930.00,1918.00,5805.00,0.00,2311.00,6322.00,298.00,7894.00,13819.00,13986.00,897.00,3.21,4.19,7.52,12.00,6.51,0.21,243.00,0.00,68188.00,12284.00,16755,0,0.10,0.32,449,449,1,205,2,0,0,0,205,2,0,0,0,8,0,8,0,4.00,0.30,24.00,0,1.49,439.00,0,0
